sample,dataset,pre_post,mean_cov,stdev_cov,include
MLZ68995A,sm,post,14.5548,57.668,1
MLZ70247A,sm,post,13.9657,50.3762,1
UWBM46816A,sm,pre,13.8622,58.6896,1
UWBM58664A,sm,pre,15.2163,51.0588,1
UWBM46824A,sm,pre,14.1641,90.8458,1
UWBM127042A,sm,post,14.6199,41.5039,1
MVZ193723A,sm,post,15.2899,46.4987,1
MVZ195826A,sm,post,14.6734,40.8382,1
MVZ193679A,sm,post,18.8303,63.6609,1
UWBM125069A,sm,pre,13.3705,49.0078,1
MVZ195824A,sm,post,14.4416,51.9616,1
UWBM107528A,sm,post,13.5539,43.3304,1
MVZ179571A,sm,pre,22.5611,69.3478,1
MVZ193742A,sm,post,24.9295,82.5506,1
UWBM126863A,sm,post,14.4161,38.3686,1
MVZ177580A,sm,pre,20.8036,61.8337,1
MVZ177584A,sm,pre,14.4207,38.0833,1
MVZ195825A,sm,post,14.8573,44.2062,1
MVZ178459A,sm,pre,14.6984,40.8399,1
UWBM124123A,sm,post,12.8375,45.875,1
MVZ193675A,sm,post,26.8771,85.8234,1
MVZ178454A,sm,pre,14.2423,38.2432,1
MVZ195718A,sm,post,16.3878,39.0589,1
MVZ177581A,sm,pre,21.1588,69.0953,1
MVZ195719A,sm,post,13.9509,33.7378,1
MVZ177567A,sm,pre,27.0942,79.4853,1
UWBM124563A,sm,post,15.8107,50.2921,1
UWBM107261A,sm,post,17.724,63.2387,1
UWBM125034A,sm,post,17.3581,61.0066,1
MVZ179097A,sm,pre,29.8318,102.772,1
UWBM124665A,sm,post,21.4251,71.8321,1
UWBM125386A,sm,post,31.8122,114.879,1
MVZ194938A,sm,post,14.2181,35.355,1
MVZ-188706,ccgp,pre,1.42404,4.96033,1
FMNH-334041,ccgp,pre,15.4933,109.267,1
FMNH-333857,ccgp,pre,7.44435,20.4653,1
FMNH-334134,ccgp,pre,5.78275,31.0738,1
FMNH-333955,ccgp,pre,10.0078,64.4411,1
MVZ-195408,ccgp,post,6.62568,16.9915,1
FMNH-333953,ccgp,pre,16.6259,117.996,1
FMNH-333949,ccgp,pre,15.9362,117.13,1
MVZ-191252,ccgp,post,6.23229,23.5608,1
MVZ-189425,ccgp,post,8.18598,25.9916,1
MVZ-190932,ccgp,post,8.54354,25.2805,1
FMNH-334039,ccgp,pre,27.236,173.155,1
MVZ-195406,ccgp,post,8.38986,23.3376,1
MVZ-190939,ccgp,post,7.81461,21.6779,1
MVZ-193682,ccgp,post,5.88294,23.1501,1
MVZ-196595,ccgp,post,5.54984,19.9661,1
MVZ-188705,ccgp,post,7.52004,25.8354,1
MVZ-190135,ccgp,post,9.36322,48.8978,1
MVZ-190136,ccgp,post,9.02286,33.8793,1
MVZ-182218,ccgp,post,5.72366,20.5953,1
FMNH-333950,ccgp,pre,21.9806,166.172,1
MVZ-193683,ccgp,post,7.08787,26.9662,1
FMNH-342072,ccgp,pre,6.77799,37.0526,1
MVZ-193722,ccgp,post,9.98028,26.3673,1
MVZ-180498,ccgp,post,9.22834,24.191,1
MVZ-195404,ccgp,post,12.3983,32.5053,1
MVZ-196594,ccgp,post,10.1876,35.3173,1
MVZ-195401,ccgp,post,12.1985,30.3868,1
MVZ-195403,ccgp,post,17.1399,45.537,1
MVZ-195400,ccgp,post,15.0051,39.0816,1
MVZ-195402,ccgp,post,16.9031,45.4441,1
FMNH-333957,ccgp,pre,14.8766,107.927,1
MVZ-193641,ccgp,post,16.3951,135.388,1
FMNH-333971,ccgp,pre,16.5792,111.427,1
MVZ-193628,ccgp,post,16.5211,136.419,1
MVZ-195411,ccgp,post,23.6648,60.193,1
FMNH-333958,ccgp,pre,18.6108,94.1913,1
FMNH-342022,ccgp,pre,20.0651,116.84,1
MVZ-193629,ccgp,post,20.6211,190.769,1
FMNH-342053,ccgp,pre,18.4814,142.035,1
MVZ-193497,ccgp,post,22.4212,179.498,1
MVZ-190138,ccgp,post,10.7641,37.4977,1
FMNH-333954,ccgp,pre,21.6219,143.643,1
FMNH-333951,ccgp,pre,26.3444,157.2,1
FMNH-343436,ccgp,pre,26.3559,151.111,1
MVZ-193627,ccgp,post,31.4529,170.584,1
FMNH-333956,ccgp,pre,31.6696,199.576,1
MVZ-193979,ccgp,post,15.7292,116.501,1
FMNH-333952,ccgp,pre,21.3523,134.929,1
