,Sample,passed.total,passed.primary,passed.secondary,passed.supplementary,passed.duplicates,passed.primary duplicates,passed.mapped,passed.mapped %,passed.primary mapped,passed.primary mapped %,passed.paired in sequencing,passed.read1,passed.read2,passed.properly paired,passed.properly paired %,passed.with itself and mate mapped,passed.singletons,passed.singletons %,passed.with mate mapped to a different chr,passed.with mate mapped to a different chr (mapQ >= 5),failed.total,failed.primary,failed.secondary,failed.supplementary,failed.duplicates,failed.primary duplicates,failed.mapped,failed.mapped %,failed.primary mapped,failed.primary mapped %,failed.paired in sequencing,failed.read1,failed.read2,failed.properly paired,failed.properly paired %,failed.with itself and mate mapped,failed.singletons,failed.singletons %,failed.with mate mapped to a different chr,failed.with mate mapped to a different chr (mapQ >= 5)
0,FMNH-334041,168918423,168096848,0,821575,20486745,20486745,164492555,97.38,163670980,97.37,168096848,83616079,84480769,160964311,95.76,163130570,540410,0.32,1849760,1095755,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,,0,0
1,FMNH-334039,282999962,281886676,0,1113286,31921895,31921895,277147993,97.93,276034707,97.92,281886676,140398697,141487979,271767131,96.41,275482510,552197,0.2,3152126,1484584,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,,0,0
2,FMNH-333857,75220090,74525583,0,694507,9446569,9446569,75113959,99.86,74419452,99.86,74525583,37129141,37396442,71990137,96.6,74400119,19333,0.03,2159882,1377646,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,,0,0
3,FMNH-333949,169824110,169213977,0,610133,28630120,28630120,167630412,98.71,167020279,98.7,169213977,84936095,84277882,164518986,97.23,166883203,137076,0.08,2022798,1103763,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,,0,0
4,FMNH-333950,242725547,241378094,0,1347453,34943022,34943022,240840768,99.22,239493315,99.22,241378094,120000124,121377970,235297124,97.48,239320712,172603,0.07,3522770,1912745,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,,0,0
5,FMNH-334134,67546860,66923866,0,622994,10752192,10752192,65456743,96.91,64833749,96.88,66923866,33307036,33616830,63222892,94.47,64754290,79459,0.12,1313662,777342,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,,0,0
6,FMNH-333955,108462415,107794113,0,668302,17251933,17251933,107530487,99.14,106862185,99.14,107794113,54430389,53363724,104637085,97.07,106722355,139830,0.13,1835848,1256835,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,,0,0
7,FMNH-333953,175532183,174919190,0,612993,28682551,28682551,174032225,99.15,173419232,99.14,174919190,87996182,86923008,170902371,97.7,173300140,119092,0.07,2036784,1107233,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,,0,0
8,FMNH-333952,230129477,229288352,0,841125,36407133,36407133,227865368,99.02,227024243,99.01,229288352,115459020,113829332,223518811,97.48,226856204,168039,0.07,2819188,1503891,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,,0,0
9,FMNH-333954,240515724,238531581,0,1984143,28563142,28563142,238709886,99.25,236725743,99.24,238531581,118005330,120526251,231825157,97.19,236514373,211370,0.09,4126304,2170894,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,,0,0
