,Sample,mean_coverage,stdev_coverage,passed.total,passed.secondary,passed.supplementary,passed.duplicates,passed.mapped,passed.mapped %,passed.paired in sequencing,passed.read1,passed.read2,passed.properly paired,passed.properly paired %,passed.with itself and mate mapped,passed.singletons,passed.singletons %,passed.with mate mapped to a different chr,passed.with mate mapped to a different chr (mapQ >= 5),failed.total,failed.secondary,failed.supplementary,failed.duplicates,failed.mapped,failed.mapped %,failed.paired in sequencing,failed.read1,failed.read2,failed.properly paired,failed.properly paired %,failed.with itself and mate mapped,failed.singletons,failed.singletons %,failed.with mate mapped to a different chr,failed.with mate mapped to a different chr (mapQ >= 5),num_overlap_pairs,avg_reference_bases_overlap,var_reference_bases_overlap,num_times_orientation_caused_clip,num_times_forward_clipped,num_times_backward_clipped
0,LACM-107754-A,23.9937,121.404,78895947,0,9067,4578469,40607135,51.47,78886880,51329222,27557658,40588114,51.47,40594558,3510,51.47,5330,1662,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,35091474.0,20.7159,69.4864,809834.0,17551856.0,17539618.0
1,LACM-104981-A,4.70717,75.6731,110281296,0,91198,7417063,52108282,47.25,110190098,71210725,38979373,51940822,47.25,52004140,12944,47.25,42458,13499,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,42174664.0,26.1449,599.205,1309339.0,21106023.0,21068641.0
2,LACM-104982-A,3.31393,32.1466,52147663,0,693988,3708009,34147577,65.48,51453675,34501239,16952436,33004920,65.48,33435977,17612,65.48,294356,43995,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,25003352.0,75.1197,2508.74,4022200.0,12639862.0,12363490.0
3,LACM-104980-A,2.6456,58.9843,53970955,0,296683,6443564,39566182,73.31,53674272,34911317,18762955,38704735,73.31,39091746,177753,73.31,307818,73964,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,28022094.0,42.486,1711.33,1641281.0,14010877.0,14011217.0
4,MVZ-177581-A,1.92643,2.58249,18112151,0,6010637,85226,18094361,99.9,12101514,8073712,4027802,9647362,99.9,12068708,15016,99.9,2206206,1346290,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,7133636.0,105.139,720.635,1408360.0,3579740.0,3553896.0
5,MVZ-178454-A,3.29701,5.67613,44505946,0,13960456,220917,44462557,99.9,30545490,19053858,11491632,23522234,99.9,30465166,36935,99.9,6402114,4422406,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,16601120.0,105.778,737.979,2826556.0,8327596.0,8273524.0
6,MVZ-177580-A,2.38054,3.77819,26501445,0,7826222,126663,26476680,99.91,18675223,12437140,6238083,15206174,99.91,18632333,18125,99.91,3124332,1933828,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,11140973.0,107.122,707.069,2129465.0,5586231.0,5554742.0
7,MVZ-177567-A,2.62832,4.23656,31174750,0,8630387,165150,31145149,99.91,22544363,14784354,7760009,18354112,99.91,22490441,24321,99.91,3798448,2544445,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,12998797.0,107.334,731.169,2275160.0,6514867.0,6483930.0
8,MVZ-177584-A,4.24628,7.42427,53890995,0,9848197,320372,53837918,99.9,44042798,26484704,17558094,37649510,99.9,43952734,36987,99.9,5849258,4045368,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,24274722.0,110.736,779.963,3463202.0,12166703.0,12108019.0
9,UWBM-58204-A,2.5593,5.10512,30827009,0,10568117,175389,30794499,99.89,20258892,13919658,6339234,15726558,99.89,20200914,25468,99.89,4044918,2052821,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,12173736.0,103.981,703.128,2605846.0,6103869.0,6069867.0
10,MVZ-178459-A,4.72708,7.86472,63612569,0,15744522,312190,63550887,99.9,47868047,28681695,19186352,37688686,99.9,47760687,45678,99.9,9371160,6845098,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,24365129.0,107.05,834.107,3380998.0,12205477.0,12159652.0
11,MLZ-68995-A,10.1963,41.2151,114888964,0,937842,1667521,114757707,99.89,113951122,62898215,51052907,112534129,99.89,113781666,38199,99.89,1076170,689395,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,58031512.0,97.9227,1438.81,4786042.0,29039897.0,28991615.0
12,UWBM-47940-A,3.0053,6.26904,39536057,0,13712898,239516,39481873,99.86,25823159,18171458,7651701,20120137,99.86,25736225,32750,99.86,5066368,2488971,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,15711301.0,104.529,700.994,3327771.0,7869751.0,7841550.0
