,Sample,both_reads_kept,forward_reads_kept,reverse_reads_kept,dropped_reads,inputted_pairs
0,LACM-104980-A,38864382,11110012,1604973,2423564,54002931
1,LACM-104981-A,75119813,15789894,2247717,2600616,95758040
2,LACM-104982-A,36126083,12072637,1008260,2159055,51366035
3,LACM-107754-A,56579564,9718849,2696258,2569708,71564379
4,MLZ-68995-A,64127210,18634760,2450018,4324785,89536773
5,MLZ-70247-A,79573621,20993206,3246167,4507636,108320630
6,MVZ-177567-A,15262238,6045438,318119,970221,22596016
7,MVZ-177580-A,13017619,6002115,360420,1184552,20564706
8,MVZ-177581-A,16535136,5124978,406850,806889,22873853
9,MVZ-177584-A,27814560,8960228,976866,1642793,39394447
10,MVZ-178454-A,20357105,5504635,826231,1241790,27929761
11,MVZ-178459-A,29857498,8694949,1029987,1767795,41350229
12,MVZ-179097-A,7034655,2943189,202148,584069,10764061
13,MVZ-179571-A,4115869,1649478,111972,307221,6184540
14,MVZ-193497-A,29646328,10334489,947958,2142770,43071545
15,MVZ-193675-A,9686004,3944610,362056,940520,14933190
16,MVZ-193679-A,28458537,10384040,728355,1982477,41553409
17,MVZ-193682-A,30928399,8600894,1154817,1920510,42604620
18,MVZ-193723-A,5403070,2346190,162511,468627,8380398
19,MVZ-193742-A,14643321,6085820,258755,846354,21834250
20,MVZ-194932-A,3960719,2448845,98007,454747,6962318
21,MVZ-194938-A,12805280,5057040,338777,924758,19125855
22,MVZ-195718-A,6804155,2208626,226249,415898,9654928
23,MVZ-195719-A,16263486,6510066,509989,1386372,24669913
24,MVZ-195824-A,30610527,12752382,797010,2304565,46464484
25,MVZ-195825-A,14761559,5049282,627221,1150953,21589015
26,MVZ-195826-A,41901092,12121172,1090451,2067765,57180480
27,UWBM-107261-A,36050685,9576253,1490197,2239941,49357076
28,UWBM-107528-A,43146328,13021954,1403047,2183887,59755216
29,UWBM-124123-A,32987489,9565819,1109188,1808588,45471084
30,UWBM-124563-A,22558519,8590570,663141,1703349,33515579
31,UWBM-124665-A,30758448,8363511,1031958,1716980,41870897
32,UWBM-125034-A,33209888,9179047,1232260,1998678,45619873
33,UWBM-125069-A,30412230,8326582,1143091,2115872,41997775
34,UWBM-125386-A,59490528,18524534,2002835,3238808,83256705
35,UWBM-126863-A,16077156,5231851,509470,1114783,22933260
36,UWBM-127042-A,42609207,10787557,1853507,2708158,57958429
37,UWBM-46815,44685808,15309034,1303992,2873642,64172476
38,UWBM-46816,23362143,8184964,673228,1422101,33642436
39,UWBM-46824,53192423,16210882,1773197,3465025,74641527
40,UWBM-46835,50136131,16318091,1923877,3777253,72155352
41,UWBM-46838-A,68373754,22664547,2050831,4375114,97464246
42,UWBM-46842-A,56651478,16192827,2182934,3527277,78554516
43,UWBM-47940-A,18827169,10125969,372775,1504439,30830352
44,UWBM-47967-A,34150191,12992362,1043515,2490613,50676681
45,UWBM-51050-A,35915711,12608428,1072689,2495363,52092191
46,UWBM-58204-A,14643847,5922815,369279,1049270,21985211
47,UWBM-58205-A,59458471,21389901,1573698,3524979,85947049
48,UWBM-58664-A,23640764,10825504,485358,1598059,36549685
