chr_num,chr_name,bp_cm_conversion
1,NC_091013.1,1.824828359371744e-06
10,NC_091024.1,3.972319794398624e-06
11,NC_091025.1,5.45715549399576e-06
12,NC_091026.1,2.4719322576985693e-06
13,NC_091027.1,4.58766806606436e-06
14,NC_091028.1,5.66032490138553e-06
15,NC_091029.1,4.156468532361666e-06
17,NC_091030.1,6.642003187100683e-06
18,NC_091031.1,3.902202105012412e-06
19,NC_091032.1,5.030185467897044e-06
1A,NC_091014.1,2.4042263318711646e-06
2,NC_091015.1,2.090111131905159e-06
20,NC_091033.1,2.872121637590184e-06
21,NC_091034.1,5.38897714378732e-06
22,NC_091035.1,8.781982270698508e-06
23,NC_091036.1,5.092852204622828e-06
24,NC_091037.1,6.515701222484771e-06
25,NC_091038.1,1.2303790738119806e-05
26,NC_091039.1,4.52527500897989e-06
27,NC_091040.1,2.760799062351472e-05
28,NC_091041.1,5.058311919099366e-06
29,NC_091042.1,6.308726167465652e-06
3,NC_091016.1,1.269457282820133e-06
30,NC_091043.1,1.3659403611738568e-05
31,NC_091044.1,1.6762806871927284e-05
34,NC_091045.1,2.059687345242376e-05
4,NC_091017.1,1.3527640793121442e-06
4A,NC_091018.1,2.04944236713339e-06
5,NC_091019.1,1.3633381951668906e-06
6,NC_091020.1,2.033359886865081e-06
7,NC_091021.1,2.6421313541945864e-06
8,NC_091022.1,1.3968516358170494e-06
9,NC_091023.1,3.003794022933438e-06
